URL,画像URL,名前,タンパク質,脂質,炭水化物,食物繊維,カリウム,カルシウム,鉄,亜鉛,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,ビタミンD,ビタミンE,Unnamed: 16
https://www.kurashiru.com/recipes/8b8f40bb-a263-479c-a439-4a6b7ed35581,https://video.kurashiru.com/production/videos/8b8f40bb-a263-479c-a439-4a6b7ed35581/compressed_thumbnail_square_large.jpg?1702962673,自宅で簡単 野菜たっぷり長崎ちゃんぽん,0.047180749,0.031804308,0.114200981,0.018839929,0.001656987,0.000237971,4.3952e-06,5.0761e-06,1.3411e-06,0.0013964102,5.746e-07,4.4286e-05,1e-09,3.8216e-06,3.5794
https://www.kurashiru.com/recipes/57e1678d-6842-43ba-a370-20ad99dbc9ff,https://video.kurashiru.com/production/videos/57e1678d-6842-43ba-a370-20ad99dbc9ff/compressed_thumbnail_square_large.jpg?1639367889,お家で簡単お店の味！味噌バターラーメン,0.060415352,0.044907843,0.168029593,0.021442124,0.001454216,0.000332916,7.9352e-06,5.61e-06,1.76e-07,6.078e-07,7.696e-07,3.84292e-05,1.3e-09,3.807e-06,9.1019
https://www.kurashiru.com/recipes/fdf4cc7f-7275-45e7-b49b-df889fc19df6,https://video.kurashiru.com/production/videos/fdf4cc7f-7275-45e7-b49b-df889fc19df6/compressed_thumbnail_square_large.jpg?1714531218,基本のチャーハン,0.046638701,0.06211908,0.109889039,0.001657645,0.000794587,0.000196536,6.2991e-06,5.8227e-06,6.853e-07,2.989e-07,1.318e-06,6.2788e-06,1.24e-08,4.4465e-06,3.903
https://www.kurashiru.com/recipes/ad8e4778-e505-4d9c-abf2-879b21cdfc88,https://video.kurashiru.com/production/videos/ad8e4778-e505-4d9c-abf2-879b21cdfc88/compressed_thumbnail_square_large.jpg?1714531218,ぱぱっと簡単！レタスチャーハン,0.037183575,0.072144928,0.096463768,0.002608696,0.001057488,0.00014372,4.1063e-06,4.9082e-06,3.807e-07,1.3903e-06,9e-07,3.55652e-05,1.56e-08,2.2657e-06,4.502
https://www.kurashiru.com/recipes/8254d28b-fe36-4fd3-a2f3-b84b2bc2c224,https://video.kurashiru.com/production/videos/8254d28b-fe36-4fd3-a2f3-b84b2bc2c224/compressed_thumbnail_square_large.jpg?1692857533,クリーミーかぼちゃサラダ,0.013444219,0.085971602,0.106606491,0.029208925,0.004000041,0.000264158,5.2394e-06,2.0487e-06,7.833e-07,6.844e-07,7.584e-07,0.0001298174,6e-10,2.42028e-05,0.2655
https://www.kurashiru.com/recipes/ded0d347-2d6e-4304-b19c-8e26b195efc6,https://video.kurashiru.com/production/videos/ded0d347-2d6e-4304-b19c-8e26b195efc6/compressed_thumbnail_square_large.jpg?1647414963,簡単！コールスローサラダ,0.03956425,0.065052718,0.035598023,0.01330313,0.001596474,0.000332018,4.1491e-06,4.5428e-06,6.28e-08,2.01e-06,7.427e-07,0.0002999176,1.5e-09,1.05848e-05,1.5725
https://www.kurashiru.com/recipes/90c07abb-e8fc-4ec4-b0f9-00acecdf1e71,https://video.kurashiru.com/production/videos/90c07abb-e8fc-4ec4-b0f9-00acecdf1e71/compressed_thumbnail_square_large.jpg?1639367889,簡単！ひんやり美味しい冷やしトマトサラダ,0.004967427,0.114400651,0.055439739,0.010260586,0.001619316,9.35179e-05,2.0717e-06,1.1971e-06,2.419e-07,3.998e-07,1.409e-07,0.0001034202,0.0,1.83225e-05,0.4975
https://www.kurashiru.com/recipes/0732d9bb-2d9f-42b9-9ff9-b52e6ad0c6fc,https://video.kurashiru.com/production/videos/0732d9bb-2d9f-42b9-9ff9-b52e6ad0c6fc/compressed_thumbnail_square_large.jpg?1639367889,カリカリウインナーのポテトサラダ,0.031461538,0.06319275,0.059474801,0.055595049,0.002953439,0.000324934,7.3758e-06,3.4801e-06,1.275e-07,1.0169e-06,5.085e-07,0.0002137931,6e-10,3.8108e-06,2.9065
https://www.kurashiru.com/recipes/04e2908e-af5c-4a19-b657-c92b68e6bfe7,https://video.kurashiru.com/production/videos/04e2908e-af5c-4a19-b657-c92b68e6bfe7/compressed_thumbnail_square_large.jpg?1639367889,簡単シンプルポテトサラダ,0.011463276,0.017853483,0.054345796,0.064222813,0.003351945,0.00016079,6.6504e-06,2.0907e-06,2.0103e-06,0.0020786928,4.39e-07,0.0001728914,2e-10,4.3223e-06,0.8969
https://www.kurashiru.com/recipes/b28fc2f3-2341-40e9-95ad-9054625d0629,https://video.kurashiru.com/production/videos/b28fc2f3-2341-40e9-95ad-9054625d0629/compressed_thumbnail_square_large.jpg?1701998755,基本のきつねそば,0.042968421,0.028113684,0.192126316,0.007926316,0.001014316,0.000415074,9.6021e-06,5.7326e-06,4.9e-09,4.634e-07,4.505e-07,9.7263e-06,0.0,1.4905e-06,7.754
https://www.kurashiru.com/recipes/5d6fc475-8b10-4fb9-80e2-13b885061aa3,https://video.kurashiru.com/production/videos/5d6fc475-8b10-4fb9-80e2-13b885061aa3/compressed_thumbnail_square_large.jpg?1701998755,鶏肉たっぷり肉そば,0.110822571,0.10785573,0.084150087,0.003970332,0.001132519,9.16347e-05,7.9168e-06,1.1128e-05,2.748e-07,6.277e-07,1.4478e-06,8.5049e-06,6e-10,8.54e-07,5.764
https://www.kurashiru.com/recipes/b402d5f8-955e-4580-b00c-6e1594869e15,https://video.kurashiru.com/production/videos/b402d5f8-955e-4580-b00c-6e1594869e15/compressed_thumbnail_square_large.jpg?1701998755,とろろの月見仕立てそば,0.038440104,0.028036458,0.211229167,0.013020833,0.001671328,0.000241667,1.10286e-05,6.9349e-06,5.378e-07,9.06e-07,6.448e-07,1.04167e-05,8.5e-09,4.5234e-06,4.854
https://www.kurashiru.com/recipes/8c5b41ad-79d3-438b-b5ff-af0ee2b70355,https://video.kurashiru.com/production/videos/8c5b41ad-79d3-438b-b5ff-af0ee2b70355/compressed_thumbnail_square_large.jpg?1639367889,ボリューム満点！すき焼き風炒め煮,0.087076336,0.174253435,0.044001527,0.004427481,0.00155716,0.000818626,1.76046e-05,2.20183e-05,2.015e-07,5.573e-07,1.1395e-06,1.37405e-05,3.5e-09,1.11756e-05,3.506
https://www.kurashiru.com/recipes/1acd4796-a961-48d5-b0d5-f7c413cd8e0e,https://video.kurashiru.com/production/videos/1acd4796-a961-48d5-b0d5-f7c413cd8e0e/compressed_thumbnail_square_large.jpg?1701147044,豚こま肉で簡単すき焼き風煮込み,0.053485491,0.083881696,0.030878348,0.012723214,0.001440558,0.000746116,1.0481e-05,7.7199e-06,5.938e-07,1.9133e-06,7.047e-07,5.69196e-05,5e-10,9.1975e-06,3.672
https://www.kurashiru.com/recipes/6f277fc8-860b-4b19-bde9-0785d48c7194,https://video.kurashiru.com/production/videos/6f277fc8-860b-4b19-bde9-0785d48c7194/compressed_thumbnail_square_large.jpg?1704777905,ごちそうの定番 簡単すき焼き,0.065072899,0.109374513,0.058670006,0.013628826,0.001451319,0.000657351,9.5854e-06,1.38959e-05,1.0324e-06,4.679e-07,1.1438e-06,1.31441e-05,5.2e-09,6.7123e-06,3.896
https://www.kurashiru.com/recipes/fa07cb84-c0b9-49d6-a896-a76fbe9ac31f,https://video.kurashiru.com/production/videos/fa07cb84-c0b9-49d6-a896-a76fbe9ac31f/compressed_thumbnail_square_large.jpg?1639371177,ホッとする味！基本のビーフシチュー,0.098939549,0.121020492,0.092970287,0.035655738,0.002912398,8.73463e-05,1.53689e-05,2.04918e-05,1.0605e-06,0.0011224898,9.401e-07,9.6396e-05,0.0,6.1629e-06,7.65
https://www.kurashiru.com/recipes/ce68d105-480f-48cf-859b-9cbb8dc8a5cd,https://video.kurashiru.com/production/videos/ce68d105-480f-48cf-859b-9cbb8dc8a5cd/compressed_thumbnail_square_large.jpg?1688710986,濃厚！簡単クリームシチュー,0.110204673,0.115104048,0.037250536,0.03089148,0.002249327,0.000814019,7.6186e-06,9.4901e-06,8.349e-07,0.0003337689,1.557e-06,8.77849e-05,6e-10,1.8757e-06,4.6939
https://www.kurashiru.com/recipes/dd87d906-56b8-4741-a965-f2f23696a36c,https://video.kurashiru.com/production/videos/dd87d906-56b8-4741-a965-f2f23696a36c/compressed_thumbnail_square_large.jpg?1639367889,鍋一つで簡単トマトシチュー,0.045144109,0.032374914,0.059583583,0.040228268,0.002822608,9.54e-05,5.972e-06,2.8264e-06,2.639e-07,6.39e-07,4.258e-07,0.0001375421,2e-10,4.8679e-06,1.8104
https://www.kurashiru.com/recipes/943bb7e9-f3f3-4d70-8706-678c826a3655,https://video.kurashiru.com/production/videos/943bb7e9-f3f3-4d70-8706-678c826a3655/compressed_thumbnail_square_large.jpg?1710299038,定番 豚肉の生姜焼き,0.11888419,0.184725815,0.068868988,0.007192371,0.002119149,0.000235829,4.5188e-06,1.10478e-05,9.27e-08,4.1061e-06,1.0241e-06,9.65451e-05,4e-10,1.02184e-05,3.267
https://www.kurashiru.com/recipes/de1365ff-624a-435d-816e-bc16bb2cee30,https://video.kurashiru.com/production/videos/de1365ff-624a-435d-816e-bc16bb2cee30/compressed_thumbnail_square_large.jpg?1714536556,漬けずにできる！豚のしょうが焼き,0.119274266,0.184782167,0.076959368,0.005318284,0.002124515,9.57562e-05,3.93e-06,1.09605e-05,8.38e-08,4.1767e-06,1.0032e-06,4.47856e-05,5e-10,1.01851e-05,3.7645
https://www.kurashiru.com/recipes/6c7fa4a1-5235-4061-8bf5-0872e2f47068,https://video.kurashiru.com/production/videos/6c7fa4a1-5235-4061-8bf5-0872e2f47068/compressed_thumbnail_square_large.jpg?1639367889,サクサク牛肉コロッケ,0.050924542,0.07545189,0.080116552,0.03954181,0.00270819,0.000206877,1.15709e-05,1.15998e-05,3.418e-07,1.0149e-06,1.0091e-06,0.0001542068,5.3e-09,8.2257e-06,3.632
