URL,画像URL,名前,タンパク質,脂質,炭水化物,食物繊維,カリウム,カルシウム,鉄,亜鉛,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,ビタミンD,ビタミンE,Unnamed: 16
https://www.kurashiru.com/recipes/ce68d105-480f-48cf-859b-9cbb8dc8a5cd,https://video.kurashiru.com/production/videos/ce68d105-480f-48cf-859b-9cbb8dc8a5cd/compressed_thumbnail_square_large.jpg?1688710986,濃厚！簡単クリームシチュー　レシピ・作り方,120.74575,126.11375,40.81355,33.84625,2464.475,891.88,8.34733,10.39785,914.727,365.693935,1.705875,96.1815,0.6622,2.05515,4.6939
https://www.kurashiru.com/recipes/dd87d906-56b8-4741-a965-f2f23696a36c,https://video.kurashiru.com/production/videos/dd87d906-56b8-4741-a965-f2f23696a36c/compressed_thumbnail_square_large.jpg?1639367889,鍋一つで簡単トマトシチュー　レシピ・作り方,39.158,28.082,51.6828,34.894,2448.33,82.75,5.18008,2.4516,228.922,0.55426,0.3693,119.304,0.1632,4.2224,1.8104
https://www.kurashiru.com/recipes/943bb7e9-f3f3-4d70-8706-678c826a3655,https://video.kurashiru.com/production/videos/943bb7e9-f3f3-4d70-8706-678c826a3655/compressed_thumbnail_square_large.jpg?1717637517,定番 豚肉の生姜焼き　レシピ・作り方,53.765375,83.54225,31.146,3.25275,958.385,106.65375,2.043625,4.996375,41.92125,1.856975,0.46315,43.6625,0.2,4.62125,3.267
https://www.kurashiru.com/recipes/de1365ff-624a-435d-816e-bc16bb2cee30,https://video.kurashiru.com/production/videos/de1365ff-624a-435d-816e-bc16bb2cee30/compressed_thumbnail_square_large.jpg?1714536556,漬けずにできる！豚のしょうが焼き　レシピ・作り方,52.8385,81.8585,34.093,2.356,941.16,42.42,1.741,4.8555,37.115,1.8503,0.4444,19.84,0.2,4.512,3.7645
https://www.kurashiru.com/recipes/6c7fa4a1-5235-4061-8bf5-0872e2f47068,https://video.kurashiru.com/production/videos/6c7fa4a1-5235-4061-8bf5-0872e2f47068/compressed_thumbnail_square_large.jpg?1639367889,サクサク牛肉コロッケ　レシピ・作り方,44.457125,65.8695,69.94175,34.52,2364.25,180.60375,10.101375,10.126625,298.42625,0.886,0.880925,134.6225,4.66,7.181,3.632
https://www.kurashiru.com/recipes/b3416d26-c3f3-4c23-96c2-a42207f24b40,https://video.kurashiru.com/production/videos/b3416d26-c3f3-4c23-96c2-a42207f24b40/compressed_thumbnail_square_large.jpg?1716865716,定番のコロッケ　レシピ・作り方,61.643625,49.9005,69.03075,38.07,3328.83,186.99375,10.397875,3.059125,588.85125,4.07655,1.226025,231.4225,5.22,4.846,0.966
https://www.kurashiru.com/recipes/4f9ecd73-23b8-4cca-8bd0-40f4e47a40ac,https://video.kurashiru.com/production/videos/4f9ecd73-23b8-4cca-8bd0-40f4e47a40ac/compressed_thumbnail_square_large.jpg?1639367889,とろっとろ！カニカマクリームコロッケ　レシピ・作り方,25.9325,50.2225,88.3103,4.1905,673.17,226.175,3.25008,1.8386,227.032,0.20811,0.3578,11.904,3.2862,7.3929,6.8654
https://www.kurashiru.com/recipes/7b508edf-12cb-4cf7-8834-b166e07da025,https://video.kurashiru.com/production/videos/7b508edf-12cb-4cf7-8834-b166e07da025/compressed_thumbnail_square_large.jpg?1646791913,手作り煮あげで きつねうどん　レシピ・作り方,13.576,6.889,66.668,3.26,178.2,94.08,1.867,1.179,0.0,0.0721,0.098,0.0,0.016,0.472,6.76
https://www.kurashiru.com/recipes/91019dd0-d7cb-42ed-aa05-25dd4ff7e279,https://video.kurashiru.com/production/videos/91019dd0-d7cb-42ed-aa05-25dd4ff7e279/compressed_thumbnail_square_large.jpg?1639367889,簡単に本格的なカレーうどん　レシピ・作り方,58.673,48.884,79.032,7.8305,913.83,102.19,5.1785,5.1945,9.995,1.55275,0.466,2.55,0.208,0.792,4.4535
https://www.kurashiru.com/recipes/735a08b5-301c-438e-b61e-0a53b1dca6ac,https://video.kurashiru.com/production/videos/735a08b5-301c-438e-b61e-0a53b1dca6ac/compressed_thumbnail_square_large.jpg?1639367889,野菜たっぷり ブリしゃぶ　レシピ・作り方,44.178,26.3925,52.529,10.335,2000.19,122.01,5.5885,2.9305,1511.475,1095.8726,1.27995,93.4125,16.34,8.458,12.318
https://www.kurashiru.com/recipes/80fa9f69-42a3-41e5-b806-9f0b98fea7ab,https://video.kurashiru.com/production/videos/80fa9f69-42a3-41e5-b806-9f0b98fea7ab/compressed_thumbnail_square_large.jpg?1718085000,ごまだれ冷しゃぶうどん　レシピ・作り方,58.703,61.018,72.887,5.4735,998.91,166.74,2.9605,5.6045,56.645,1.97785,0.5128,21.97,0.254,2.219,6.162
https://www.kurashiru.com/recipes/73eebe21-2a57-4d91-9b63-40159e53d5f0,https://video.kurashiru.com/production/videos/73eebe21-2a57-4d91-9b63-40159e53d5f0/compressed_thumbnail_square_large.jpg?1639367889,ささみシソ天ぷら　レシピ・作り方,21.744,1.238,42.566,1.688,350.8,90.68,0.918,2.392,61.04,0.1452,0.6186,1.56,0.0,0.47,0.336
https://www.kurashiru.com/recipes/de4804eb-7ccb-4456-af9b-a82b133baf4e,https://video.kurashiru.com/production/videos/de4804eb-7ccb-4456-af9b-a82b133baf4e/compressed_thumbnail_square_large.jpg?1639367889,さくさくとり天！のり塩風味　レシピ・作り方,34.56566667,15.9465,49.75416667,1.836666667,481.2066667,92.72,2.242833333,1.491166667,132.5333333,0.173333333,0.677866667,2.733333333,0.085,0.446666667,1.6545
https://www.kurashiru.com/recipes/556bcf32-451d-4daa-9968-78418733db3d,https://video.kurashiru.com/production/videos/556bcf32-451d-4daa-9968-78418733db3d/compressed_thumbnail_square_large.jpg?1717951521,ほっこり！簡単肉じゃが　レシピ・作り方,34.773,80.79,64.7895,34.924,2297.635,83.83,5.39,10.4965,1042.92,1095.4146,0.57695,94.8425,0.0,1.751,3.416
https://www.kurashiru.com/recipes/1fb57b76-e47d-4b6d-96f3-757873742da6,https://video.kurashiru.com/production/videos/1fb57b76-e47d-4b6d-96f3-757873742da6/compressed_thumbnail_square_large.jpg?1639367889,ホクホク塩肉じゃが　レシピ・作り方,39.122,95.492,45.949,34.924,2348.91,82.04,5.073,45.129,1058.92,1096.4259,0.4873,92.8425,1.208,1.952,7.6795
https://www.kurashiru.com/recipes/224b8ebf-a88e-4deb-9d8c-8df3b180b5a3,https://video.kurashiru.com/production/videos/224b8ebf-a88e-4deb-9d8c-8df3b180b5a3/compressed_thumbnail_square_large.jpg?1639367889,とろ〜り仕上げる！基本の親子丼　レシピ・作り方,97.206,97.282,49.262,0.6125,1009.85,81.94,5.7845,9.9765,362.155,0.42355,1.415,7.31,2.788,1.314,4.63
https://www.kurashiru.com/recipes/e3fd1786-3931-4324-81a6-1f1f5b02ed55,https://video.kurashiru.com/production/videos/e3fd1786-3931-4324-81a6-1f1f5b02ed55/compressed_thumbnail_square_large.jpg?1718124322,簡単ふわとろ！親子丼　レシピ・作り方,97.703,132.238,58.707,1.7,1125.74,92.62,6.041,10.127,361.0,0.4553,1.4184,12.0,2.788,5.421,4.212
https://www.kurashiru.com/recipes/a8ae4ff9-da43-4266-8805-d6de479fd4d1,https://video.kurashiru.com/production/videos/a8ae4ff9-da43-4266-8805-d6de479fd4d1/compressed_thumbnail_square_large.jpg?1718037922,かんたん麻婆豆腐　レシピ・作り方,41.8122,40.436,32.079,7.1885,1189.3092,265.0616,6.3919,5.2703,100.695,1.20705,0.5204,3.4112,0.4,2.7326,4.7624
https://www.kurashiru.com/recipes/7e562e9d-c63b-4086-af60-50cd7d3db549,https://video.kurashiru.com/production/videos/7e562e9d-c63b-4086-af60-50cd7d3db549/compressed_thumbnail_square_large.jpg?1717519522,ピリ辛麻婆豆腐　レシピ・作り方,44.354,78.169,26.597,5.4615,980.0,309.82,6.7185,5.5445,14.255,1.13885,0.4527,5.32,0.416,5.593,5.4
https://www.kurashiru.com/recipes/0da34803-80e6-4e2e-87be-ad4733688342,https://video.kurashiru.com/production/videos/0da34803-80e6-4e2e-87be-ad4733688342/compressed_thumbnail_square_large.jpg?1717951521,サクサク！基本のとんかつ　レシピ・作り方,69.738625,59.0245,53.19725,3.9335,1154.31,157.35125,4.395125,6.342875,297.42125,1.95885,0.89785,43.6225,4.76,2.44,3.632
https://www.kurashiru.com/recipes/a629e26d-9e9b-4667-834a-721baabb0a44,https://video.kurashiru.com/production/videos/a629e26d-9e9b-4667-834a-721baabb0a44/compressed_thumbnail_square_large.jpg?1639367889,簡単 サクサクとんかつ　レシピ・作り方,66.627875,58.62375,24.861,2.98875,1058.425,129.93375,3.512625,6.056875,294.53625,1.918075,0.87035,43.6125,4.76,2.09525,2.7185
https://www.kurashiru.com/recipes/6c656bdf-d8c9-427a-b669-f6e1d9f81fcd,https://video.kurashiru.com/production/videos/6c656bdf-d8c9-427a-b669-f6e1d9f81fcd/compressed_thumbnail_square_large.jpg?1717865121,基本のロールキャベツ　レシピ・作り方,40.347125,47.4285,43.34475,4.866,1093.75,116.55375,3.714375,5.581625,164.59625,1.2568,0.631725,63.6625,3.012,2.77,4.7982
https://www.kurashiru.com/recipes/a0d4c6c1-65c9-4b43-9359-1f12b98e1cab,https://video.kurashiru.com/production/videos/a0d4c6c1-65c9-4b43-9359-1f12b98e1cab/compressed_thumbnail_square_large.jpg?1704783377,とっても簡単！逆ロールキャベツ　レシピ・作り方,56.589625,82.5315,51.85125,8.241,1907.025,107.44375,3.247875,5.110625,218.56125,1.75095,0.537575,74.6725,0.2,10.031,1.69
